Ausgrid 2011-12 Summary Community Electricity Report,,,,,,,,,,,,,,,,,,,,,,
Local Government Area (LGA),2011-12,,,,,,,,,,,2010-11,,,,,,,,,,
,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",
,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers
ASHFIELD,"87,850","18,287",13.1,"83,113","4,737","2,411",753,"25,873","1,271","51,570",101,"92,947","18,260",13.9,"88,087","4,859","2,448",343,"26,666","1,272","55,041",106
AUBURN,"131,543","25,932",13.9,"119,233","12,309","4,770","2,083","103,298","3,744","467,641",581,"137,813","25,208",15,"125,369","12,444","4,840",928,"105,785","3,586","468,866",586
BANKSTOWN,"431,756","64,733",18.2,"354,011","77,745","28,299","5,040","143,761","6,866","502,934",587,"456,714","64,150",19.5,"379,051","77,663","28,495","2,050","147,408","6,841","524,516",585
BOTANY BAY,"80,415","16,352",13.4,"72,983","7,432","3,283",685,"67,123","2,598","182,505",286,"84,359","16,291",14.2,"76,721","7,638","3,325",274,"68,009","2,625","189,071",290
BURWOOD,"70,122","12,580",15.2,"64,550","5,571","2,498",779,"38,899","1,689","106,253",106,"74,533","12,336",16.6,"68,755","5,778","2,556",325,"40,136","1,688","109,487",106
CANADA BAY,"184,969","33,211",15.2,"172,113","12,855","6,024","1,546","62,809","2,851","154,952",242,"196,515","32,569",16.5,"183,258","13,257","6,162",733,"63,374","2,780","159,411",244
CANTERBURY,"289,476","54,119",14.6,"262,236","27,240","12,116","2,846","80,320","4,231","126,900",212,"306,528","53,897",15.6,"278,280","28,248","12,336","1,185","80,750","4,222","134,335",220
CESSNOCK,"153,441","21,408",19.6,"126,232","27,209","11,022","3,077","39,040","1,774","76,613",156,"161,296","21,061",21,"134,127","27,168","11,023","1,484","41,850","1,741","73,276",149
GOSFORD,"504,092","76,406",18,"392,744","111,348","46,312","9,287","127,408","6,439","297,319",450,"528,358","76,133",19,"417,808","110,550","46,385","4,653","130,456","6,460","310,625",474
HORNSBY,"431,698","56,314",20.9,"362,176","69,523","24,674","6,226","91,623","4,723","197,255",329,"460,447","56,133",22.5,"390,355","70,092","24,838","3,249","93,958","4,699","204,854",335
HUNTERS HILL,"45,456","5,258",23.6,"41,384","4,072","1,554",351,"9,178",443,"17,040",28,"48,571","5,246",25.4,"44,328","4,243","1,573",179,"9,400",443,"17,847",30
HURSTVILLE,"185,323","31,228",16.2,"154,154","31,169","12,532","2,603","61,292","3,520","93,675",173,"196,309","31,094",17.3,"164,969","31,340","12,752","1,226","61,055","3,523","98,867",177
KOGARAH,"138,061","22,258",16.9,"116,745","21,316","8,414","1,452","34,394","1,865","82,732",88,"147,056","22,148",18.2,"125,578","21,477","8,586",681,"34,482","1,837","85,764",90
KU-RING-GAI,"390,257","40,590",26.3,"343,288","46,970","16,757","3,036","57,767","2,732","110,432",187,"412,671","39,863",28.4,"364,618","48,053","17,008","1,660","60,174","2,693","112,372",188
LAKE MACQUARIE,"546,854","79,122",18.9,"422,880","123,974","54,722","14,075","122,125","6,229","233,069",431,"575,975","78,408",20.1,"451,678","124,297","54,880","7,148","123,545","6,161","233,446",432
LANE COVE,"94,126","13,811",18.6,"87,516","6,610","2,810",796,"34,841","1,468","86,869",169,"99,668","13,714",19.9,"92,685","6,983","2,877",423,"36,005","1,470","90,481",170
LEICHHARDT,"129,092","25,340",13.9,"122,804","6,289","3,406","1,059","62,075","3,061","68,148",164,"135,395","25,223",14.7,"128,706","6,689","3,454",523,"63,763","3,066","71,702",170
MAITLAND,"190,089","27,242",19.1,"156,836","33,254","13,470","4,228","57,079","2,743","107,791",209,"200,758","26,419",20.8,"167,372","33,386","13,510","2,037","59,073","2,684","106,861",209
MANLY,"115,357","19,284",16.3,"103,657","11,700","5,157",955,"37,973","1,846","50,964",102,"119,812","19,191",17.1,"107,568","12,244","5,230",546,"38,699","1,838","52,601",107
MARRICKVILLE,"167,605","36,363",12.6,"159,352","8,253","4,220","1,579","86,807","4,224","133,884",266,"176,537","36,228",13.4,"167,907","8,630","4,256",774,"90,392","4,262","129,179",262
MOSMAN,"99,996","13,743",19.9,"93,931","6,066","2,232",470,"24,080","1,246","22,317",67,"104,820","13,729",20.9,"98,705","6,115","2,270",216,"24,851","1,242","23,665",68
MUSWELLBROOK,"53,449","6,629",22,"41,157","12,293","4,507",945,"28,991","1,367","27,903",83,"56,443","6,458",23.9,"44,279","12,165","4,521",425,"30,467","1,305","29,988",88
NEWCASTLE,"373,935","67,339",15.2,"305,901","68,033","31,871","9,433","180,678","7,912","316,709",605,"395,125","66,941",16.2,"326,376","68,750","32,140","4,940","177,784","7,789","323,269",612
NORTH SYDNEY,"179,315","36,993",13.2,"171,872","7,443","3,111",447,"160,539","6,581","264,384",487,"189,256","36,935",14,"181,557","7,700","3,147",249,"165,675","6,594","276,983",513
PITTWATER,"179,386","24,350",20.1,"156,641","22,746","9,248","2,548","50,121","2,995","62,265",122,"187,814","24,223",21.2,"164,322","23,492","9,350","1,552","52,784","2,905","62,514",121
PORT STEPHENS,"211,024","31,314",18.4,"157,967","53,057","23,729","5,491","54,668","2,928","106,000",208,"221,117","31,014",19.5,"167,991","53,126","23,734","2,762","54,711","2,870","107,255",206
RANDWICK,"308,663","58,850",14.3,"281,706","26,957","11,585","2,461","75,974","3,579","208,055",294,"322,126","58,397",15.1,"294,535","27,591","11,751","1,174","75,316","3,505","214,235",295
ROCKDALE,"218,057","40,878",14.6,"188,013","30,044","13,269","1,962","57,981","3,008","92,824",177,"228,592","40,577",15.4,"198,202","30,390","13,439",911,"57,971","2,982","95,234",181
RYDE,"257,092","42,917",16.4,"227,421","29,671","11,808","2,971","105,440","4,182","478,443",626,"274,245","42,710",17.6,"244,138","30,108","11,992","1,431","112,782","4,119","477,837",624
SINGLETON,"80,447","9,200",23.9,"63,066","17,382","6,288","1,810","29,170","1,754","48,006",108,"86,613","9,130",26,"68,859","17,754","6,337",804,"31,210","1,720","50,825",114
STRATHFIELD,"82,731","13,394",16.9,"76,222","6,509","2,639",777,"39,111","1,612","133,989",172,"88,371","13,349",18.1,"81,687","6,684","2,693",254,"41,706","1,593","137,254",177
SUTHERLAND,"651,693","84,750",21,"523,691","128,002","44,528","7,800","149,001","7,419","235,568",411,"686,307","84,454",22.3,"557,891","128,416","44,717","3,886","149,941","7,389","242,090",420
SYDNEY,"410,632","96,981",11.6,"399,461","11,171","5,199","1,053","771,186","29,754","2,722,806","3,348","431,756","96,209",12.3,"419,895","11,861","5,232",514,"788,843","29,088","2,809,656","3,392"
UPPER HUNTER,"43,244","5,365",22,"33,583","9,662","3,574",871,"21,931","1,272","15,912",48,"45,974","5,346",23.6,"36,145","9,829","3,600",415,"23,392","1,233","16,384",50
