Ausgrid 2013-14 Summary Community Electricity Report,,,,,,,,,,,,,,,,,,,,,,
Local Government Area (LGA),2013-14,,,,,,,,,,,2012-13,,,,,,,,,,
,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",
,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers
ASHFIELD,"78,905","18,262",11.8,"74,919","3,986","2,341",984,"25,637","1,296","48,122",95,"84,072","18,345",12.5,"79,688","4,385","2,379",908,"25,757","1,293","50,588",97
AUBURN,"121,275","27,120",12.3,"110,453","10,822","4,538","3,072","106,181","3,962","451,277",569,"128,132","26,639",13.1,"116,553","11,579","4,667","2,783","106,790","3,973","455,499",567
BANKSTOWN,"396,980","65,717",16.6,"327,014","69,966","27,740","8,418","139,110","6,972","475,099",594,"417,191","65,284",17.5,"343,410","73,781","28,076","7,216","141,686","6,946","493,475",585
BOTANY BAY,"76,007","17,250",12.1,"69,358","6,649","3,208",984,"64,830","2,626","159,742",295,"77,682","16,554",12.8,"70,706","6,976","3,242",864,"66,257","2,615","175,048",287
BURWOOD,"62,670","13,070",13.1,"57,919","4,751","2,417","1,097","39,127","1,754","89,609",103,"65,909","12,671",14.2,"60,718","5,191","2,457",1023,"39,104","1,726","100,242",103
CANADA BAY,"174,016","35,465",13.4,"163,098","10,918","5,841","2,190","65,055","3,075","148,041",246,"181,389","34,316",14.4,"169,395","11,994","5,934","1,970","65,381","2,979","149,740",234
CANTERBURY,"262,441","54,456",13.2,"238,875","23,566","11,761","4,376","78,130","4,321","123,518",208,"276,963","54,347",13.9,"251,736","25,227","11,959","3,945","78,933","4,302","125,364",210
CESSNOCK,"146,529","21,982",18.3,"122,473","24,056","10,957","5,155","41,121","1,856","75,719",158,"152,356","21,746",19.1,"126,849","25,507","11,001","4,129","41,322","1,845","76,931",155
GOSFORD,"465,061","76,715",16.6,"362,465","102,596","46,019","12,395","126,005","6,649","288,342",442,"486,268","76,729",17.3,"379,216","107,052","46,242","11,046","126,153","6,527","295,693",447
HORNSBY,"388,011","56,703",18.7,"325,552","62,459","24,422","8,774","82,041","4,412","185,168",303,"411,940","56,454",19.9,"346,430","65,510","24,584","7,759","90,968","4,741","184,540",319
HUNTERS HILL,"41,218","5,310",21.3,"37,685","3,533","1,511",406,"8,995",438,"16,688",28,"43,766","5,269",22.7,"39,975","3,791","1,533",400,"9,473",450,"16,823",27
HURSTVILLE,"170,409","31,587",14.8,"142,496","27,913","12,196","3,532","60,476","3,661","92,505",180,"178,785","31,333",15.6,"149,195","29,590","12,379","3,345","60,889","3,543","90,525",171
KOGARAH,"126,185","22,421",15.4,"107,460","18,725","8,198","2,033","39,322","1,905","74,775",87,"133,430","22,434",16.3,"113,209","20,221","8,319","1,832","34,646","1,912","82,120",88
KU-RING-GAI,"349,700","41,638",23,"308,793","40,908","16,256","3,992","57,382","2,840","97,582",179,"371,571","41,213",24.6,"327,852","43,719","16,488","3,622","57,973","2,783","99,698",181
LAKE MACQUARIE,"505,818","80,203",17.3,"393,774","112,043","54,415","20,211","119,716","6,261","214,651",425,"528,929","79,636",18.1,"411,399","117,531","54,593","17,467","120,859","6,256","225,860",429
LANE COVE,"84,951","14,071",16.5,"79,311","5,639","2,701",1052,"34,552","1,504","76,228",165,"89,900","13,819",17.8,"83,764","6,136","2,758",943,"34,307","1,471","79,967",167
LEICHHARDT,"116,004","25,458",12.5,"110,719","5,284","3,332","1,345","56,814","3,026","62,912",159,"122,808","25,379",13.2,"117,027","5,782","3,368","1,253","60,344","3,080","64,353",159
MAITLAND,"184,773","28,754",17.6,"155,426","29,347","13,342","6,549","57,924","2,829","98,478",212,"190,792","28,038",18.6,"159,553","31,239","13,436","5,379","59,022","2,800","104,251",211
MANLY,"103,406","19,391",14.6,"93,111","10,295","5,042","1,255","35,665","1,919","49,749",97,"110,118","19,395",15.5,"99,122","10,997","5,099",1098,"37,192","1,885","51,745",102
MARRICKVILLE,"152,203","37,104",11.2,"145,052","7,151","4,141","2,309","86,516","4,312","132,133",254,"160,962","36,633",12,"153,143","7,818","4,179","1,993","85,702","4,270","133,102",257
MOSMAN,"89,573","13,784",17.8,"84,488","5,085","2,154",599,"23,049","1,257","20,722",66,"95,258","13,720",19,"89,697","5,562","2,193",549,"23,873","1,242","21,567",66
MUSWELLBROOK,"51,277","6,903",20.3,"40,624","10,653","4,412","1,646","34,028","1,407","29,486",78,"53,990","6,779",21.8,"42,529","11,461","4,461",1296,"35,193","1,430","30,785",79
NEWCASTLE,"342,307","67,858",13.8,"282,476","59,831","31,194","12,725","169,945","7,957","301,437",605,"362,198","67,738",14.6,"298,393","63,805","31,569","11,399","176,061","8,003","311,126",605
NORTH SYDNEY,"162,357","37,629",11.8,"155,876","6,481","3,054",625,"149,676","6,595","237,632",465,"172,087","37,132",12.7,"165,158","6,929","3,078",579,"155,645","6,604","254,391",473
PITTWATER,"162,360","24,707",18,"142,774","19,586","9,027","3,118","47,620","3,042","57,605",122,"171,869","24,534",19.1,"150,705","21,165","9,145","2,876","49,318","3,073","60,821",122
