Ausgrid 2009-10 Summary Community Electricity Report,,,,,,,,,,,,,,,,,,,,,,
Local Government Area (LGA),2009-10,,,,,,,,,,,2008-09,,,,,,,,,,
,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",
,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers
ASHFIELD,"94,276","18,287",14.1,"89,185","5,091","2,482",30,"28,188","1,275","56,495",107,"98,522","18,249",14.8,"92,758","5,764","2,494",9,"28,101","1,260","62,500",107
AUBURN,"138,746","24,738",15.4,"125,651","13,095","4,896",302,"109,558","3,523","458,497",570,"142,177","24,386",16,"127,836","14,341","4,945",207,"111,275","3,494","453,358",556
BANKSTOWN,"465,711","63,813",20,"385,907","79,805","28,855",89,"151,794","6,783","527,128",574,"482,420","63,210",20.9,"396,980","85,441","29,052",15,"151,994","6,676","515,338",560
BOTANY BAY,"85,766","16,114",14.6,"77,731","8,035","3,353",19,"68,722","2,585","191,530",287,"87,333","15,804",15.1,"78,581","8,752","3,374",3,"70,692","2,554","188,681",280
BURWOOD,"75,847","12,324",16.9,"69,908","5,939","2,607",16,"41,591","1,689","110,263",103,"79,300","12,275",17.7,"72,603","6,698","2,634",5,"40,262","1,689","110,005",100
CANADA BAY,"197,461","32,157",16.8,"183,276","14,185","6,287",40,"65,142","2,702","163,112",235,"200,175","31,186",17.6,"184,808","15,367","6,381",8,"67,503","2,598","159,885",220
CANTERBURY,"310,823","53,749",15.8,"281,769","29,054","12,503",73,"82,226","4,172","135,629",220,"323,098","53,551",16.5,"290,902","32,196","12,637",15,"83,943","4,119","132,049",213
CESSNOCK,"165,609","20,652",22,"137,722","27,886","11,018",121,"47,315","1,736","68,640",141,"169,539","20,322",22.9,"139,328","30,211","11,004",13,"46,544","1,710","65,833",137
GOSFORD,"542,031","75,928",19.6,"429,908","112,123","46,533",386,"132,283","6,461","316,382",467,"561,872","75,263",20.5,"441,311","120,561","46,563",47,"136,337","6,585","314,363",456
HORNSBY,"466,913","55,923",22.9,"395,925","70,989","24,978",256,"95,948","4,653","208,407",334,"491,400","55,595",24.2,"414,553","76,848","25,038",73,"99,170","4,636","206,539",328
HUNTERS HILL,"48,421","5,230",25.4,"44,030","4,391","1,605",26,"9,490",428,"17,643",28,"49,451","5,207",26,"44,618","4,834","1,627",17,"9,399",415,"17,262",27
HURSTVILLE,"201,320","30,918",17.8,"168,930","32,390","12,929",69,"62,264","3,457","98,128",172,"206,732","30,582",18.5,"171,718","35,013","13,029",15,"61,534","3,408","94,562",170
KOGARAH,"149,746","22,047",18.6,"127,766","21,980","8,704",83,"33,630","1,825","88,950",90,"154,995","21,943",19.4,"131,152","23,843","8,787",41,"34,122","1,757","85,845",89
KU-RING-GAI,"411,540","39,344",28.7,"362,206","49,334","17,254",117,"59,650","2,598","113,291",186,"423,681","38,419",30.2,"370,049","53,632","17,417",38,"59,451","2,558","113,759",179
LAKE MACQUARIE,"590,672","77,778",20.8,"462,058","128,614","55,056",604,"125,113","6,125","229,224",416,"618,221","76,941",22,"474,554","143,667","55,083",80,"127,581","6,038","218,487",400
LANE COVE,"99,620","13,673",20,"92,374","7,246","2,936",35,"36,955","1,458","90,189",165,"103,543","13,576",20.9,"95,310","8,233","2,988",18,"38,755","1,437","88,173",158
LEICHHARDT,"135,050","25,138",14.7,"128,068","6,982","3,503",77,"66,254","3,070","72,547",165,"139,286","25,045",15.2,"131,663","7,623","3,536",38,"65,349","3,023","70,319",162
MAITLAND,"206,239","25,872",21.8,"171,552","34,687","13,593",144,"60,818","2,635","104,608",199,"211,676","25,445",22.8,"173,461","38,215","13,643",20,"71,210","2,616","100,774",184
MANLY,"119,002","19,057",17.1,"106,753","12,249","5,302",54,"40,410","1,872","54,979",107,"123,299","18,904",17.9,"109,902","13,397","5,354",21,"40,558","1,722","50,509",100
MARRICKVILLE,"178,202","36,015",13.6,"168,722","9,480","4,294",99,"91,686","4,267","128,510",263,"186,390","35,775",14.3,"176,202","10,188","4,331",34,"93,536","4,244","125,021",258
MOSMAN,"104,459","13,710",20.9,"98,012","6,447","2,301",30,"25,823","1,232","22,885",63,"107,977","13,607",21.7,"100,936","7,041","2,323",15,"25,871","1,218","22,341",60
MUSWELLBROOK,"58,031","6,370",25,"45,744","12,287","4,546",18,"33,215","1,270","35,152",90,"58,989","6,265",25.8,"45,669","13,320","4,554",6,"30,850","1,228","31,934",85
NEWCASTLE,"404,328","66,646",16.6,"332,815","71,512","32,354",502,"179,044","7,735","324,940",593,"417,548","65,990",17.3,"339,267","78,281","32,438",53,"181,494","7,542","310,338",565
NORTH SYDNEY,"188,397","36,796",14,"180,281","8,116","3,189",73,"167,740","6,569","287,646",501,"196,239","36,532",14.7,"187,507","8,732","3,215",18,"173,157","6,550","291,285",481
PITTWATER,"189,267","24,086",21.5,"165,206","24,061","9,502",179,"53,238","2,878","64,396",119,"194,441","23,889",22.3,"168,266","26,176","9,629",66,"51,961","2,864","61,357",114
PORT STEPHENS,"226,914","30,697",20.3,"172,094","54,820","23,713",187,"56,713","2,861","103,946",202,"234,608","30,341",21.2,"173,923","60,685","23,655",19,"59,845","2,839","99,373",194
RANDWICK,"324,492","58,125",15.3,"295,530","28,962","11,927",100,"79,009","3,394","212,566",292,"338,363","57,707",16.1,"305,018","33,345","12,047",26,"79,549","3,352","205,460",282
ROCKDALE,"234,749","40,575",15.9,"203,291","31,459","13,608",68,"57,940","2,930","97,632",184,"244,919","40,360",16.6,"210,506","34,414","13,682",16,"63,762","2,890","92,111",179
RYDE,"276,163","42,386",17.9,"245,382","30,782","12,204",122,"111,917","3,879","472,462",605,"286,196","42,213",18.6,"252,485","33,711","12,341",18,"118,351","3,674","448,369",549
SINGLETON,"88,617","8,998",27,"70,654","17,963","6,360",39,"34,519","1,718","50,688",113,"90,467","8,890",27.9,"70,900","19,567","6,384",10,"33,670","1,713","47,650",108
STRATHFIELD,"88,944","13,213",18.4,"81,967","6,977","2,740",16,"43,698","1,588","137,999",175,"91,513","13,053",19.2,"83,589","7,923","2,780",3,"45,988","1,580","139,250",172
SUTHERLAND,"702,521","84,345",22.8,"572,134","130,387","44,980",264,"152,827","7,417","242,442",406,"730,913","83,932",23.9,"591,250","139,663","45,132",73,"152,667","7,292","241,733",383
SYDNEY,"433,363","95,359",12.5,"421,015","12,349","5,285",73,"807,975","28,552","2,852,247","3,368","440,233","93,688",12.9,"426,967","13,266","5,300",28,"850,324","28,502","2,857,349","3,271"
UPPER HUNTER,"47,529","5,306",24.5,"37,720","9,809","3,609",41,"26,869","1,223","17,699",48,"48,468","5,243",25.3,"37,959","10,508","3,618",6,"23,559","1,211","14,843",43
WARRINGAH,"393,317","57,250",18.8,"340,494","52,823","21,047",278,"134,015","6,283","237,613",392,"409,591","56,905",19.7,"352,011","57,580","21,209",59,"134,800","6,173","233,057",385
WAVERLEY,"184,516","32,943",15.3,"175,014","9,501","4,067",65,"69,913","3,274","116,133",175,"190,500","32,850",15.9,"180,313","10,187","4,149",29,"68,921","3,211","118,894",172
WILLOUGHBY,"192,528","28,588",18.5,"178,819","13,709","5,815",73,"133,417","5,057","346,696",442,"198,995","28,390",19.2,"183,940","15,055","5,907",37,"135,183","4,950","339,766",433
WOOLLAHRA,"222,693","27,473",22.2,"209,823","12,870","4,652",55,"62,339","3,000","53,829",146,"229,535","27,405",22.9,"215,478","14,057","4,712",24,"63,775","2,962","54,279",143
WYONG,"447,399","64,928",18.9,"362,510","84,889","35,842",444,"102,600","5,071","263,749",352,"465,454","64,275",19.8,"373,632","91,821","35,751",46,"106,076","5,058","254,721",334
Total,"9,491,223","1,406,551",18.5,"8,197,945","1,293,278","516,431","5,267","3,741,850","159,245","9,174,872","13,097","9,828,062","1,393,215",19.3,"8,417,905","1,410,156","518,741","1,268","3,837,118","157,347","9,037,373","12,637"
,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,
"1. Electricity use data is from billing data for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,,,,,,,
2. Electricity use data does not include high voltage customers and supply to services such as public lighting and bus shelters.,,,,,,,,,,,,,,,,,,,,,,
3. Electricity use data has been split into four categories:,,,,,,,,,,,,,,,,,,,,,,
i) 'General Supply' refers to all electricity usage in residential properties except off peak hot water.,,,,,,,,,,,,,,,,,,,,,,
ii) 'Off peak hot water' refers primarily to controlled load residential usage from storage hot water systems.,,,,,,,,,,,,,,,,,,,,,,
iii) 'Non-residential small sites' refers to non-residential customers supplied at low voltage with usage typically less than 160 MWh per year.,,,,,,,,,,,,,,,,,,,,,,
iv) 'Non-residential medium-large sites' refer to non-residential customers supplied at low voltage with usage typically greater than 160 MWh per year.,,,,,,,,,,,,,,,,,,,,,,
