Ausgrid 2012-13 Summary Community Electricity Report,,,,,,,,,,,,,,,,,,,,,,
Local Government Area (LGA),2012-13,,,,,,,,,,,2011-12,,,,,,,,,,
,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",
,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers
ASHFIELD,"84,072","18,345",12.6,"79,688","4,385","2,379",908,"25,757","1,293","50,588",97,"87,850","18,287",13.1,"83,113","4,737","2,411",753,"25,873","1,271","51,570",101
AUBURN,"128,132","26,639",13.2,"116,553","11,579","4,667","2,783","106,790","3,973","455,499",567,"131,543","25,932",13.9,"119,233","12,309","4,770","2,083","103,298","3,744","467,641",581
BANKSTOWN,"417,191","65,284",17.5,"343,410","73,781","28,076","7,216","141,686","6,946","493,475",585,"431,756","64,733",18.2,"354,011","77,745","28,299","5,040","143,761","6,866","502,934",587
BOTANY BAY,"77,682","16,554",12.9,"70,706","6,976","3,242",864,"66,257","2,615","175,048",287,"80,415","16,352",13.4,"72,983","7,432","3,283",685,"67,123","2,598","182,505",286
BURWOOD,"65,909","12,671",14.3,"60,718","5,191","2,457","1,023","39,104","1,726","100,242",103,"70,122","12,580",15.2,"64,550","5,571","2,498",779,"38,899","1,689","106,253",106
CANADA BAY,"181,389","34,316",14.5,"169,395","11,994","5,934","1,970","65,381","2,979","149,740",234,"184,969","33,211",15.2,"172,113","12,855","6,024","1,546","62,809","2,851","154,952",242
CANTERBURY,"276,963","54,347",14,"251,736","25,227","11,959","3,945","78,933","4,302","125,364",210,"289,476","54,119",14.6,"262,236","27,240","12,116","2,846","80,320","4,231","126,900",212
CESSNOCK,"152,356","21,746",19.2,"126,849","25,507","11,001","4,129","41,322","1,845","76,931",155,"153,441","21,408",19.6,"126,232","27,209","11,022","3,077","39,040","1,774","76,613",156
GOSFORD,"486,268","76,729",17.4,"379,216","107,052","46,242","11,046","126,153","6,527","295,693",447,"504,092","76,406",18,"392,744","111,348","46,312","9,287","127,408","6,439","297,319",450
HORNSBY,"411,940","56,454",20,"346,430","65,510","24,584","7,759","90,968","4,741","184,540",319,"431,698","56,314",20.9,"362,176","69,523","24,674","6,226","91,623","4,723","197,255",329
HUNTERS HILL,"43,766","5,269",22.8,"39,975","3,791","1,533",400,"9,473",450,"16,823",27,"45,456","5,258",23.6,"41,384","4,072","1,554",351,"9,178",443,"17,040",28
HURSTVILLE,"178,785","31,333",15.6,"149,195","29,590","12,379","3,345","60,889","3,543","90,525",171,"185,323","31,228",16.2,"154,154","31,169","12,532","2,603","61,292","3,520","93,675",173
