Ausgrid 2012-13 Summary Community Electricity Report,,,,,,,,,,,,,,,,,,,,,,
Local Government Area (LGA),2012-13,,,,,,,,,,,2011-12,,,,,,,,,,
,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",
KOGARAH,"133,430","22,434",16.3,"113,209","20,221","8,319","1,832","34,646","1,912","82,120",88,"138,061","22,258",16.9,"116,745","21,316","8,414","1,452","34,394","1,865","82,732",88
KU-RING-GAI,"371,571","41,213",24.7,"327,852","43,719","16,488","3,622","57,973","2,783","99,698",181,"390,257","40,590",26.3,"343,288","46,970","16,757","3,036","57,767","2,732","110,432",187
LAKE MACQUARIE,"528,929","79,636",18.2,"411,399","117,531","54,593","17,467","120,859","6,256","225,860",429,"546,854","79,122",18.9,"422,880","123,974","54,722","14,075","122,125","6,229","233,069",431
LANE COVE,"89,900","13,819",17.8,"83,764","6,136","2,758",943,"34,307","1,471","79,967",167,"94,126","13,811",18.6,"87,516","6,610","2,810",796,"34,841","1,468","86,869",169
LEICHHARDT,"122,808","25,379",13.3,"117,027","5,782","3,368","1,253","60,344","3,080","64,353",159,"129,092","25,340",13.9,"122,804","6,289","3,406","1,059","62,075","3,061","68,148",164
MAITLAND,"190,792","28,038",18.6,"159,553","31,239","13,436","5,379","59,022","2,800","104,251",211,"190,089","27,242",19.1,"156,836","33,254","13,470","4,228","57,079","2,743","107,791",209
MANLY,"110,118","19,395",15.6,"99,122","10,997","5,099","1,098","37,192","1,885","51,745",102,"115,357","19,284",16.3,"103,657","11,700","5,157",955,"37,973","1,846","50,964",102
MARRICKVILLE,"160,962","36,633",12,"153,143","7,818","4,179","1,993","85,702","4,270","133,102",257,"167,605","36,363",12.6,"159,352","8,253","4,220","1,579","86,807","4,224","133,884",266
MOSMAN,"95,258","13,720",19,"89,697","5,562","2,193",549,"23,873","1,242","21,567",66,"99,996","13,743",19.9,"93,931","6,066","2,232",470,"24,080","1,246","22,317",67
MUSWELLBROOK,"53,990","6,779",21.8,"42,529","11,461","4,461","1,296","35,193","1,430","30,785",79,"53,449","6,629",22,"41,157","12,293","4,507",945,"28,991","1,367","27,903",83
NEWCASTLE,"362,198","67,738",14.6,"298,393","63,805","31,569","11,399","176,061","8,003","311,126",605,"373,935","67,339",15.2,"305,901","68,033","31,871","9,433","180,678","7,912","316,709",605
NORTH SYDNEY,"172,087","37,132",12.7,"165,158","6,929","3,078",579,"155,645","6,604","254,391",473,"179,315","36,993",13.2,"171,872","7,443","3,111",447,"160,539","6,581","264,384",487
PITTWATER,"171,869","24,534",19.2,"150,705","21,165","9,145","2,876","49,318","3,073","60,821",122,"179,386","24,350",20.1,"156,641","22,746","9,248","2,548","50,121","2,995","62,265",122
PORT STEPHENS,"206,278","31,602",17.9,"155,582","50,696","23,717","6,768","54,416","2,921","104,238",213,"211,024","31,314",18.4,"157,967","53,057","23,729","5,491","54,668","2,928","106,000",208
RANDWICK,"297,087","59,218",13.7,"271,479","25,608","11,435","2,941","75,982","3,608","200,972",291,"308,663","58,850",14.3,"281,706","26,957","11,585","2,461","75,974","3,579","208,055",294
ROCKDALE,"211,557","41,378",14,"182,856","28,701","13,177","2,538","57,827","3,015","90,189",173,"218,057","40,878",14.6,"188,013","30,044","13,269","1,962","57,981","3,008","92,824",177
RYDE,"246,626","43,437",15.6,"218,996","27,630","11,636","3,707","105,137","4,281","470,872",619,"257,092","42,917",16.4,"227,421","29,671","11,808","2,971","105,440","4,182","478,443",626
SINGLETON,"79,861","9,257",23.6,"63,672","16,189","6,191","2,411","33,996","1,767","52,015",112,"80,447","9,200",23.9,"63,066","17,382","6,288","1,810","29,170","1,754","48,006",108
STRATHFIELD,"78,516","13,444",16,"72,388","6,129","2,595",995,"36,338","1,614","131,893",171,"82,731","13,394",16.9,"76,222","6,509","2,639",777,"39,111","1,612","133,989",172
SUTHERLAND,"627,640","85,154",20.2,"505,479","122,162","44,412","9,497","146,788","7,441","232,275",406,"651,693","84,750",21,"523,691","128,002","44,528","7,800","149,001","7,419","235,568",411
SYDNEY,"397,373","98,400",11.1,"386,556","10,817","5,161","1,210","754,682","30,423","2,635,023","3,300","410,632","96,981",11.6,"399,461","11,171","5,199","1,053","771,186","29,754","2,722,806","3,348"
UPPER HUNTER,"43,469","5,409",22,"34,334","9,135","3,541","1,178","26,122","1,300","15,570",46,"43,244","5,365",22,"33,583","9,662","3,574",871,"21,931","1,272","15,912",48
WARRINGAH,"353,170","58,260",16.6,"306,091","47,078","20,277","6,709","128,108","6,520","223,654",386,"370,625","57,953",17.5,"320,530","50,095","20,453","5,813","130,355","6,483","231,497",396
WAVERLEY,"167,996","33,092",13.9,"160,254","7,742","3,830","1,048","68,022","3,464","105,810",176,"174,898","32,989",14.5,"166,573","8,325","3,884",909,"68,384","3,391","110,418",176
WILLOUGHBY,"172,836","28,866",16.4,"161,185","11,651","5,442","2,127","132,913","5,379","319,088",423,"181,118","28,749",17.2,"168,487","12,631","5,545","1,755","133,385","5,287","337,271",431
WOOLLAHRA,"201,229","27,446",20.1,"189,763","11,466","4,493",658,"59,252","3,048","51,183",133,"209,599","27,456",20.9,"197,558","12,041","4,544",560,"60,526","3,028","52,981",139
WYONG,"406,048","66,311",16.8,"325,137","80,910","35,901","11,414","98,981","5,239","253,824",350,"419,207","65,945",17.4,"335,564","83,643","35,868","9,164","98,807","5,158","255,690",355
Total,"8,558,053","1,437,412",16.3,"7,379,193","1,178,860","504,946","148,876","3,561,413","165,771","8,620,857","12,940","8,872,695","1,425,631",17,"7,627,349","1,245,347","508,332","119,695","3,584,011","163,269","8,871,585","13,123"
,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,
"1. Electricity use data is from billing data for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,,,,,,,
2. Electricity use data does not include high voltage customers and supply to services such as public lighting and bus shelters.,,,,,,,,,,,,,,,,,,,,,,
3. Electricity use data has been split into four categories:,,,,,,,,,,,,,,,,,,,,,,
i) 'General Supply' refers to all electricity usage in residential properties except off peak hot water.,,,,,,,,,,,,,,,,,,,,,,
ii) 'Off peak hot water' refers primarily to controlled load residential usage from storage hot water systems.,,,,,,,,,,,,,,,,,,,,,,
iii) 'Non-residential small sites' refers to non-residential customers supplied at low voltage with usage typically less than 160 MWh per year.,,,,,,,,,,,,,,,,,,,,,,
iv) 'Non-residential medium-large sites' refer to non-residential customers supplied at low voltage with usage typically greater than 160 MWh per year.,,,,,,,,,,,,,,,,,,,,,,
4. Customer numbers are the average number of customers over the financial year.,,,,,,,,,,,,,,,,,,,,,,
5. Solar generation is the total electricity exported to the grid from small solar power systems as recorded by electricity meters. The total includes electricity exported from both gross and net metered solar power systems. ,,,,,,,,,,,,,,,,,,,,,,
Note that this total does not include the solar power used directly within homes with a net metering arrangement.,,,,,,,,,,,,,,,,,,,,,,
6. Year to year changes are strongly influenced by weather.  Data has not been corrected for weather variations or other factors.,,,,,,,,,,,,,,,,,,,,,,
7. Data should be used with caution when comparing with ABS data or other external data sources.  Contact Ausgrid for assistance in interpreting data.,,,,,,,,,,,,,,,,,,,,,,
