2019-2020,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,Unmetered Supply MWh
BAYSIDE*,306458,306458,128058,6121,233729,466,5633
BURWOOD,67314,67314,33985,1588,86847,114,963
CANADA BAY,186177,186177,60293,2812,123356,221,2441
CANTERBURY-BANKSTOWN*,720661,720661,216785,11779,509352,731,11349
CENTRAL COAST*,911841,911841,205419,11916,511600,720,12349
CESSNOCK,165399,165399,38371,1804,71589,135,2156
CUMBERLAND**,110602,110602,66148,2618,138884,237,2536
GEORGES RIVER*,309741,309741,84134,5405,158750,233,4934
HORNSBY*,350766,350766,71304,4198,141425,256,3691
HUNTERS HILL,44220,44220,7963,436,14420,26,390
INNER WEST*,361661,361661,163004,8671,214267,435,6930
KU-RING-GAI,354818,354818,53447,2680,93260,173,3810
LAKE MACQUARIE,535469,535469,114994,6673,182208,388,5388
LANE COVE,92323,92323,34769,1555,59379,135,1131
MAITLAND,212881,212881,57758,2904,92526,179,3525
MOSMAN,92177,92177,20820,1213,16502,52,898
MUSWELLBROOK,56062,56062,34282,1346,23641,57,910
NEWCASTLE,362891,362891,158203,7910,267042,508,6591
NORTH SYDNEY,169790,169790,124810,6143,189370,374,1841
NORTHERN BEACHES*,624956,624956,192443,11142,295043,517,7577
PARRAMATTA**,84183,84183,55328,1730,271294,337,1015
PORT STEPHENS,211209,211209,52047,2945,92560,193,2072
RANDWICK,285708,285708,74103,3533,176486,246,5049
RYDE,253804,253804,107998,4177,406444,553,3935
SINGLETON,80438,80438,34645,1671,45571,93,804
STRATHFIELD,82476,82476,40033,1587,114356,186,1385
SUTHERLAND,614729,614729,136435,8007,218620,363,6480
SYDNEY,412474,412474,699108,31035,2013802,2699,9529
UPPER HUNTER,44202,44202,24176,1240,10388,33,549
WAVERLEY,162921,162921,51176,2721,101197,161,1624
WILLOUGHBY,169826,169826,107076,5026,262893,343,1998
WOOLLAHRA,193114,193114,50558,2874,48445,108,2602
