2012-2013,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,
ASHFIELD,84072,18345,25757,1293,50588,97,
AUBURN,128132,26639,106790,3973,455499,567,
BANKSTOWN,417191,65284,141686,6946,493475,585,
BOTANY BAY,77682,16554,66257,2615,175048,287,
BURWOOD,65909,12671,39104,1726,100242,103,
CANADA BAY,181389,34316,65381,2979,149740,234,
CANTERBURY,276963,54347,78933,4302,125364,210,
CESSNOCK,152356,21746,41322,1845,76931,155,
GOSFORD,486268,76729,126153,6527,295693,447,
HORNSBY,411940,56454,90968,4741,184540,319,
HUNTERS HILL,43766,5269,9473,450,16823,27,
HURSTVILLE,178785,31333,60889,3543,90525,171,
KOGARAH,133430,22434,34646,1912,82120,88,
KU-RING-GAI,371571,41213,57973,2783,99698,181,
LAKE MACQUARIE,528929,79636,120859,6256,225860,429,
LANE COVE,89900,13819,34307,1471,79967,167,
LEICHHARDT,122808,25379,60344,3080,64353,159,
MAITLAND,190792,28038,59022,2800,104251,211,
MANLY,110118,19395,37192,1885,51745,102,
MARRICKVILLE,160962,36633,85702,4270,133102,257,
MOSMAN,95258,13720,23873,1242,21567,66,
MUSWELLBROOK,53990,6779,35193,1430,30785,79,
NEWCASTLE,362198,67738,176061,8003,311126,605,
NORTH SYDNEY,172087,37132,155645,6604,254391,473,
PITTWATER,171869,24534,49318,3073,60821,122,
PORT STEPHENS,206278,31602,54416,2921,104238,213,
RANDWICK,297087,59218,75982,3608,200972,291,
ROCKDALE,211557,41378,57827,3015,90189,173,
RYDE,246626,43437,105137,4281,470872,619,
SINGLETON,79861,9257,33996,1767,52015,112,
STRATHFIELD,78516,13444,36338,1614,131893,171,
SUTHERLAND,627640,85154,146788,7441,232275,406,
SYDNEY,397373,98400,754682,30423,2635023,3300,
UPPER HUNTER,43469,5409,26122,1300,15570,46,
WARRINGAH,353170,58260,128108,6520,223654,386,
WAVERLEY,167996,33092,68022,3464,105810,176,
WILLOUGHBY,172836,28866,132913,5379,319088,423,
WOOLLAHRA,201229,27446,59252,3048,51183,133,
WYONG,406048,66311,98981,5239,253824,350,
