2020-2021,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,Unmetered Supply MWh
BAYSIDE*,310651.7851,68385.28493,126260.2244,6232.30137,231663.7315,450.8082192,5451.93584
BURWOOD,66922.28217,14750.81644,34494.05669,1606.353425,85330.02413,115.3041096,942.8849
CANADA BAY,187806.2429,38539.4411,59312.88486,2859.016438,116647.2554,216.3643836,1906.13745
CANTERBURY-BANKSTOWN*,726753.2147,132350.3753,216296.405,11897.02192,506225.7727,713.0164384,10844.29514
CENTRAL COAST*,925432.9992,153585.6658,208282.6703,12157.93973,507257.0021,709.7232877,12060.55788
CESSNOCK,167402.6145,25466.77534,38708.8568,1843.106849,73069.18906,135.1232877,1787.97937
CUMBERLAND**,109266.0376,23331.86027,66374.16207,2648.128767,129533.0179,230.860274,2469.12884
GEORGES RIVER*,313950.7993,58544.72055,83391.85037,5457.539726,157452.7263,238.3369863,4360.42885
HORNSBY*,355333.2437,53071.02466,71069.56055,4227.580822,141324.0301,249.5643836,3515.29667
HUNTERS HILL,44188.69439,5597.331507,7885.60183,443.2986301,14224.48696,25.60273973,350.78452
INNER WEST*,363918.7701,85270.70411,161857.4243,8709.372603,212403.253,431.8821918,6449.71965
KU-RING-GAI,359092.5602,44944.36438,52995.157,2716.391781,92571.86484,170.2958904,3490.96503
LAKE MACQUARIE,540823.7499,87604.46575,118244.9445,6795.572603,189172.4085,391.9589041,5387.89853
LANE COVE,94127.38564,16532.0411,34715.20232,1596.619178,59713.03997,135.8931507,1130.69321
MAITLAND,213545.6507,34799.79726,59161.52808,2959.734247,91106.93447,170.6027397,3475.95081
MOSMAN,92769.79686,14120.77808,21195.23758,1219.690411,16164.47516,47.09589041,897.82436
MUSWELLBROOK,53727.63616,7288.567123,28306.77256,1347.082192,19973.42688,52.00821918,904.93426
NEWCASTLE,365300.329,73207.90137,156675.755,8035.923288,263849.5801,515.2410959,6591.49341
NORTH SYDNEY,168808.3335,39708.27945,115931.5235,6305.49589,189261.1085,353.060274,1680.55374
NORTHERN BEACHES*,634849.3165,107533.9644,188089.0138,11281.63288,294507.316,507.709589,7123.35191
PARRAMATTA**,86376.83183,20543.53425,54458.15271,1752.531507,265675.8456,334.0465753,966.41202
PORT STEPHENS,216766.8987,35107.93425,53077.87271,2985.665753,89789.91025,194.4712329,1911.17849
RANDWICK,287435.0344,62211.5589,73573.88724,3520.10411,175400.5296,240.5945205,4266.98315
RYDE,254047.578,50784.93973,107627.38,4257.731507,391837.9631,556.5260274,3416.94806
SINGLETON,78168.94646,9977.271233,27270.28062,1676.934247,32676.20314,92.00273973,647.83943
STRATHFIELD,81861.14842,15969.98356,40670.71852,1671.213699,113686.8993,185.4931507,1294.74712
SUTHERLAND,623368.5049,90023.49589,137172.3983,8119.769863,215467.9284,362.5589041,5892.51203
SYDNEY,408245.2885,114385.2849,646382.4067,31356.59178,1866640.505,2631.654795,9528.7126
UPPER HUNTER,42599.84611,5798.789041,20682.52559,1251.331507,8937.4913,26.51506849,575.80441
WAVERLEY,164142.6627,34491.71781,49438.09023,2726.90137,95555.01938,161.9726027,1555.18581
WILLOUGHBY,171267.618,31531.9726,99355.30291,5071.076712,248920.685,338.1972603,1870.69793
WOOLLAHRA,194842.9321,28153.86301,50228.96918,2865.328767,48143.45579,106.6684932,2414.99758
