2018-2019,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,Unmetered Supply MWh
BAYSIDE*,305114.7183,66977.68219,136396.7346,5967.909589,247791.4764,471.5123288,6424.28615
BURWOOD,68244.56504,14555.21644,41423.28869,1813.550685,85936.49606,109.6027397,1139.81517
CANADA BAY,187087.3277,38052.55342,67814.56249,2899.09863,130204.0652,225.7561644,2662.57826
CANTERBURY-BANKSTOWN*,725835.2511,129997.9178,231607.2653,11800.98904,541471.9401,739.5178082,11960.8893
CENTRAL COAST*,907498.0477,151040.2027,222131.5062,11905.22192,541973.6251,721.5863014,12492.99793
CESSNOCK,167177.1561,24125.49041,43135.99785,1808.972603,71969.69207,133.8849315,2185.7915
CUMBERLAND**,112060.1256,23048.86849,69427.14482,2604.736986,149244.3113,240.0520548,2549.35588
GEORGES RIVER*,311109.0915,57591.4,89799.30108,5381.358904,167574.3278,229.2547945,5092.78664
HORNSBY*,353038.5925,52572.27123,76861.6461,4131.106849,153474.9204,261.3945205,4160.85342
HUNTERS HILL,44590.88707,5527.336986,8430.52831,425.0438356,15579.24588,27,416.59945
INNER WEST*,360578.3866,84325.81096,171427.9604,8701.720548,223623.3878,452.6520548,7757.50295
KU-RING-GAI,358069.3818,44235.58904,56463.40718,2632.819178,95252.24058,173.5342466,4226.38714
LAKE MACQUARIE,536144.9776,85588.92603,119210.3806,6618.753425,192764.1214,396.0356164,5655.19294
LANE COVE,91208.23349,15729.66849,37350.59852,1489.545205,60735.37644,136.690411,1406.65871
MAITLAND,217903.201,32731.03288,60849.07799,2886.991781,98428.16852,186.2027397,3521.97801
MOSMAN,91824.32363,14075.75342,21952.57976,1219.468493,18056.8556,57.30136986,907.00711
MUSWELLBROOK,57079.34161,7246.117808,36190.46701,1349.958904,24367.71713,58.5369863,906.19333
NEWCASTLE,366509.786,71728.39452,173336.2941,7865.421918,279429.6846,513.7205479,6860.3369
NORTH SYDNEY,167030.6168,39478.04384,136302.5601,6160.520548,199030.864,391.2356164,1922.73768
NORTHERN BEACHES*,616896.5248,106646.2301,205694.9413,11082.20548,316995.5263,522.9315068,9914.66285
PARRAMATTA**,82313.25422,19487.33699,58562.30948,1713.386301,287686.012,330.1369863,1012.81748
PORT STEPHENS,213465.1479,34180.28493,54773.45179,2920.342466,98840.16449,191.9890411,2152.81289
RANDWICK,285462.5855,61783.33425,76999.28662,3497.547945,188511.1938,255.7232877,5286.37082
RYDE,252496.5553,50126.64932,112962.6556,4144.408219,430840.0524,554.1260274,4034.52614
SINGLETON,82589.61741,9787.739726,36225.02172,1688.432877,54173.35746,92.8630137,856.16694
STRATHFIELD,83460.29819,15763.9589,41233.15477,1573.331507,117984.2166,182.509589,1544.36264
SUTHERLAND,613712.9167,88287.60822,144122.0779,7833.928767,234726.8549,364.4109589,7441.97861
SYDNEY,414537.0174,112490.6493,765551.6381,31233.73425,2188957.887,2805.257534,9991.57976
UPPER HUNTER,45023.11121,5736.778082,27044.33501,1244.778082,12117.66948,34.96164384,531.5548
WAVERLEY,162216.6118,34174.29315,54462.10979,2712.915068,110685.348,163.4465753,1660.10144
WILLOUGHBY,169387.8236,31228.78904,116980.4324,5009.279452,278866.5989,354.8328767,2248.72388
WOOLLAHRA,192595.8358,27907.28219,55203.25015,2891.172603,51202.4943,109.8958904,2640.13412
