2013-2014,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,
ASHFIELD,78905,18262,25637,1296,48122,95,
AUBURN,121275,27120,106181,3962,451277,569,
BANKSTOWN,396980,65717,139110,6972,475099,594,
BOTANY BAY,76007,17250,64830,2626,159742,295,
BURWOOD,62670,13070,39127,1754,89609,103,
CANADA BAY,174016,35465,65055,3075,148041,246,
CANTERBURY,262441,54456,78130,4321,123518,208,
CESSNOCK,146529,21982,41121,1856,75719,158,
GOSFORD,465061,76715,126005,6649,288342,442,
HORNSBY,388011,56703,82041,4412,185168,303,
HUNTERS HILL,41218,5310,8995,438,16688,28,
HURSTVILLE,170409,31587,60476,3661,92505,180,
KOGARAH,126185,22421,39322,1905,74775,87,
KU-RING-GAI,349700,41638,57382,2840,97582,179,
LAKE MACQUARIE,505818,80203,119716,6261,214651,425,
LANE COVE,84951,14071,34552,1504,76228,165,
LEICHHARDT,116004,25458,56814,3026,62912,159,
MAITLAND,184773,28754,57924,2829,98478,212,
MANLY,103406,19391,35665,1919,49749,97,
MARRICKVILLE,152203,37104,86516,4312,132133,254,
MOSMAN,89573,13784,23049,1257,20722,66,
MUSWELLBROOK,51277,6903,34028,1407,29486,78,
NEWCASTLE,342307,67858,169945,7957,301437,605,
NORTH SYDNEY,162357,37629,149676,6595,237632,465,
PITTWATER,162360,24707,47620,3042,57605,122,
PORT STEPHENS,196805,31700,52207,2888,102525,216,
RANDWICK,281831,59458,75010,3595,201209,296,
ROCKDALE,201336,41799,56015,3020,89101,183,
RYDE,233395,43867,105648,4304,456230,613,
SINGLETON,75780,9307,32862,1734,54948,114,
STRATHFIELD,74608,13809,36001,1559,124667,174,
SUTHERLAND,599049,85258,144250,7435,226088,402,
SYDNEY,376647,99509,741277,30813,2511454,3258,
UPPER HUNTER,41894,5432,26838,1310,14474,44,
WARRINGAH,336180,58524,125612,6580,218909,383,
WAVERLEY,159452,33164,67517,3484,102589,178,
WILLOUGHBY,161718,29325,125039,5284,305724,421,
WOOLLAHRA,189444,27442,56599,3037,50072,129,
WYONG,391378,66696,96096,5132,253951,349,
