2010-2011,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,
ASHFIELD,137813,25208,26666,1272,55041,106,
AUBURN,456714,64150,105785,3586,468866,586,
BANKSTOWN,84359,16291,147408,6841,524516,585,
BOTANY BAY,74533,12336,68009,2625,189071,290,
BURWOOD,196515,32569,40136,1688,109487,106,
CANADA BAY,306528,53897,63374,2780,159411,244,
CANTERBURY,161296,21061,80750,4222,134335,220,
CESSNOCK,528358,76133,41850,1741,73276,149,
GOSFORD,460447,56133,130456,6460,310625,474,
HORNSBY,48571,5246,93958,4699,204854,335,
HUNTERS HILL,196309,31094,9400,443,17847,30,
HURSTVILLE,147056,22148,61055,3523,98867,177,
KOGARAH,412671,39863,34482,1837,85764,90,
KU-RING-GAI,575975,78408,60174,2693,112372,188,
LAKE MACQUARIE,99668,13714,123545,6161,233446,432,
LANE COVE,135395,25223,36005,1470,90481,170,
LEICHHARDT,200758,26419,63763,3066,71702,170,
MAITLAND,119812,19191,59073,2684,106861,209,
MANLY,176537,36228,38699,1838,52601,107,
MARRICKVILLE,104820,13729,90392,4262,129179,262,
MOSMAN,56443,6458,24851,1242,23665,68,
MUSWELLBROOK,395125,66941,30467,1305,29988,88,
NEWCASTLE,189256,36935,177784,7789,323269,612,
NORTH SYDNEY,187814,24223,165675,6594,276983,513,
PITTWATER,221117,31014,52784,2905,62514,121,
PORT STEPHENS,322126,58397,54711,2870,107255,206,
RANDWICK,228592,40577,75316,3505,214235,295,
ROCKDALE,274245,42710,57971,2982,95234,181,
RYDE,86613,9130,112782,4119,477837,624,
SINGLETON,88371,13349,31210,1720,50825,114,
STRATHFIELD,686307,84454,41706,1593,137254,177,
SUTHERLAND,431756,96209,149941,7389,242090,420,
SYDNEY,45974,5346,788843,29088,2809656,3392,
UPPER HUNTER,389337,57585,23392,1233,16384,50,
WARRINGAH,183543,32961,131227,6388,242560,408,
WAVERLEY,193257,28655,69083,3323,115004,177,
WILLOUGHBY,221799,27419,135097,5168,347856,446,
WOOLLAHRA,436971,65432,62043,3031,53834,144,
WYONG,,,100307,5102,259921,364,
