2009-2010,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,
ASHFIELD,94276,18287,28188,1275,56495,107,
AUBURN,138746,24738,109558,3523,458497,570,
BANKSTOWN,465711,63813,151794,6783,527128,574,
BOTANY BAY,85766,16114,68722,2585,191530,287,
BURWOOD,75847,12324,41591,1689,110263,103,
CANADA BAY,197461,32157,65142,2702,163112,235,
CANTERBURY,310823,53749,82226,4172,135629,220,
CESSNOCK,165609,20652,47315,1736,68640,141,
GOSFORD,542031,75928,132283,6461,316382,467,
HORNSBY,466913,55923,95948,4653,208407,334,
HUNTERS HILL,48421,5230,9490,428,17643,28,
HURSTVILLE,201320,30918,62264,3457,98128,172,
KOGARAH,149746,22047,33630,1825,88950,90,
KU-RING-GAI,411540,39344,59650,2598,113291,186,
LAKE MACQUARIE,590672,77778,125113,6125,229224,416,
LANE COVE,99620,13673,36955,1458,90189,165,
LEICHHARDT,135050,25138,66254,3070,72547,165,
MAITLAND,206239,25872,60818,2635,104608,199,
MANLY,119002,19057,40410,1872,54979,107,
MARRICKVILLE,178202,36015,91686,4267,128510,263,
MOSMAN,104459,13710,25823,1232,22885,63,
MUSWELLBROOK,58031,6370,33215,1270,35152,90,
NEWCASTLE,404328,66646,179044,7735,324940,593,
NORTH SYDNEY,188397,36796,167740,6569,287646,501,
PITTWATER,189267,24086,53238,2878,64396,119,
PORT STEPHENS,226914,30697,56713,2861,103946,202,
RANDWICK,324492,58125,79009,3394,212566,292,
ROCKDALE,234749,40575,57940,2930,97632,184,
RYDE,276163,42386,111917,3879,472462,605,
SINGLETON,88617,8998,34519,1718,50688,113,
STRATHFIELD,88944,13213,43698,1588,137999,175,
SUTHERLAND,702521,84345,152827,7417,242442,406,
SYDNEY,433363,95359,807975,28552,2852247,3368,
UPPER HUNTER,47529,5306,26869,1223,17699,48,
WARRINGAH,393317,57250,134015,6283,237613,392,
WAVERLEY,184516,32943,69913,3274,116133,175,
WILLOUGHBY,192528,28588,133417,5057,346696,442,
WOOLLAHRA,222693,27473,62339,3000,53829,146,
WYONG,447399,64928,102600,5071,263749,352,
