2014-2015,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,
ASHFIELD,81828.40363,18626.93151,25702.10292,1311.687671,47424.82799,95.69315068,
AUBURN,129010.2835,28499.63562,110156.655,3954.041096,450130.895,570.6465753,
BANKSTOWN,420461.6588,66842.70137,141413.2501,7086.715068,455982.1161,593.7835616,
BOTANY BAY,79988.74825,18021.83288,66472.24647,2730.665753,148518.7214,298.0575342,
BURWOOD,65709.2416,13341.67945,38442.95482,1791.805479,86750.17765,105.8794521,
CANADA BAY,184970.1998,36533.51781,65547.2291,3007.871233,145445.2403,250.5068493,
CANTERBURY,274014.8212,55641.10685,79169.28213,4408.235616,118663.5251,212.3643836,
CESSNOCK,153011.7801,22477.08493,40240.79877,1867.827397,74411.41736,157.5643836,
GOSFORD,485406.4066,77701.12603,126928.0329,6768.876712,284234.5051,436.0082192,
HORNSBY,405461.1945,57193.71233,83779.88265,4464.764384,183563.9687,298.8136986,
HUNTERS HILL,44346.85107,5417.909589,9156.97554,451.2575342,17026.61334,28.92054795,
HURSTVILLE,177264.4106,32075.53151,62377.98933,3719.835616,92956.2736,182.090411,
KOGARAH,132078.4487,22821.08767,34087.61094,1920.89863,78112.30807,91.43287671,
KU-RING-GAI,365485.3052,42357.07945,57514.89706,2800.668493,100114.0983,179.7561644,
LAKE MACQUARIE,523654.4472,81212.80822,119249.3142,6345.224658,206751.8774,419.8657534,
LANE COVE,90343.29845,14536.08767,35284.11297,1542.005479,74204.77434,166.5917808,
LEICHHARDT,120339.2065,25600.3589,56840.04179,3061.238356,62082.01867,157.8547945,
MAITLAND,195650.3994,29720.63562,57260.06118,2888.268493,95946.46285,210.4356164,
MANLY,109412.978,19471.43562,36266.05309,1933.99726,51633.58571,103.3369863,
MARRICKVILLE,160711.1909,37730.85479,87890.71011,4384.657534,130205.5915,259.3643836,
MOSMAN,94902.48262,13853.28493,23173.63515,1268.210959,20361.21458,67.65753425,
MUSWELLBROOK,54028.29265,7148.186301,31192.39402,1392.156164,25962.1918,75.99452055,
NEWCASTLE,355908.6792,68895.89041,169805.4831,8031.734247,293120.2823,601.1479452,
NORTH SYDNEY,170347.2469,38061.00548,146952.8115,6615.09863,226552.6066,452.0958904,
PITTWATER,170042.4227,25214.20548,48276.8689,3060.734247,57484.69461,118.7726027,
PORT STEPHENS,204571.5918,32289.75616,51248.83049,2948.876712,101738.0223,217.1178082,
RANDWICK,294517.8879,60571.49589,75424.00304,3607.410959,198889.9394,301.5287671,
ROCKDALE,211101.1914,42925,57903.05846,3062.027397,83331.89898,191.690411,
RYDE,246242.7192,45333.40548,110822.2329,4414.854795,452831.944,623.6438356,
SINGLETON,78661.74831,9504.547945,29655.58721,1745.528767,52347.83319,112.0328767,
STRATHFIELD,78797.54054,14090.2274,36470.97319,1548.145205,124423.2204,176.6876712,
SUTHERLAND,626991.5887,86048.38082,141120.1035,7374.224658,238890.5487,392.7808219,
SYDNEY,402003.0309,104310.5562,748242.3309,31104.45753,2468623.608,3288.326027,
UPPER HUNTER,42708.95622,5532.832877,24680.8809,1309.452055,16770.94061,46.4739726,
WARRINGAH,349504.4711,59054.92055,126397.2703,6625.967123,215345.9576,372.5808219,
WAVERLEY,165805.2668,33433.77808,68078.33077,3464.106849,100018.0858,174.6273973,
WILLOUGHBY,171679.7224,29965.74247,125433.4488,5231.071233,301217.2905,428.5013699,
WOOLLAHRA,198591.7069,27569.80548,57507.41262,3027.219178,53298.5943,129.8821918,
WYONG,412364.0666,67463.71507,94585.93126,5180.613699,254739.0577,353.309589,
