2011-2012,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,
ASHFIELD,87850,18287,25873,1271,51570,101,
AUBURN,131543,25932,103298,3744,467641,581,
BANKSTOWN,431756,64733,143761,6866,502934,587,
BOTANY BAY,80415,16352,67123,2598,182505,286,
BURWOOD,70122,12580,38899,1689,106253,106,
CANADA BAY,184969,33211,62809,2851,154952,242,
CANTERBURY,289476,54119,80320,4231,126900,212,
CESSNOCK,153441,21408,39040,1774,76613,156,
GOSFORD,504092,76406,127408,6439,297319,450,
HORNSBY,431698,56314,91623,4723,197255,329,
HUNTERS HILL,45456,5258,9178,443,17040,28,
HURSTVILLE,185323,31228,61292,3520,93675,173,
KOGARAH,138061,22258,34394,1865,82732,88,
KU-RING-GAI,390257,40590,57767,2732,110432,187,
LAKE MACQUARIE,546854,79122,122125,6229,233069,431,
LANE COVE,94126,13811,34841,1468,86869,169,
LEICHHARDT,129092,25340,62075,3061,68148,164,
MAITLAND,190089,27242,57079,2743,107791,209,
MANLY,115357,19284,37973,1846,50964,102,
MARRICKVILLE,167605,36363,86807,4224,133884,266,
MOSMAN,99996,13743,24080,1246,22317,67,
MUSWELLBROOK,53449,6629,28991,1367,27903,83,
NEWCASTLE,373935,67339,180678,7912,316709,605,
NORTH SYDNEY,179315,36993,160539,6581,264384,487,
PITTWATER,179386,24350,50121,2995,62265,122,
PORT STEPHENS,211024,31314,54668,2928,106000,208,
RANDWICK,308663,58850,75974,3579,208055,294,
ROCKDALE,218057,40878,57981,3008,92824,177,
RYDE,257092,42917,105440,4182,478443,626,
SINGLETON,80447,9200,29170,1754,48006,108,
STRATHFIELD,82731,13394,39111,1612,133989,172,
SUTHERLAND,651693,84750,149001,7419,235568,411,
SYDNEY,410632,96981,771186,29754,2722806,3348,
UPPER HUNTER,43244,5365,21931,1272,15912,48,
WARRINGAH,370625,57953,130355,6483,231497,396,
WAVERLEY,174898,32989,68384,3391,110418,176,
WILLOUGHBY,181118,28749,133385,5287,337271,431,
WOOLLAHRA,209599,27456,60526,3028,52981,139,
WYONG,419207,65945,98807,5158,255690,355,
