Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"LGA (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Lockhart (A)",420,418,234,275,362,485,442,302,164,32,0,3121,
"Maitland (C)",11634,10212,10056,10332,10305,9535,7938,4690,2177,427,4,77307,
"Mid-Coast (A)",9026,9687,6764,7051,9888,13113,15992,11980,5656,1122,23,90302,
"Mid-Western Regional (A)",3373,2855,2382,2730,3122,3391,3017,2156,876,161,7,24079,
"Moree Plains (A)",2070,1574,1621,1607,1732,1781,1442,907,375,50,0,13158,
"Mosman (A)",3275,3318,2802,3818,4349,3944,3133,2303,1158,382,8,28476,
"Murray River (A)",1344,1257,942,1076,1359,1654,1870,1457,617,113,5,11682,
"Murrumbidgee (A)",510,532,423,398,488,588,454,293,128,22,0,3838,
"Muswellbrook (A)",2471,2136,2072,2225,2145,2117,1544,895,401,70,0,16086,
"Nambucca (A)",2044,2143,1475,1489,2028,3056,3352,2287,1084,250,9,19210,
"Narrabri (A)",1972,1594,1416,1486,1564,1947,1538,1016,442,101,4,13083,
"Narrandera (A)",808,674,544,611,681,848,792,518,307,65,8,5853,
"Narromine (A)",937,810,638,657,742,875,834,597,296,60,0,6444,
"Newcastle (C)",18033,17070,26243,21314,19982,19580,15712,9999,5857,1593,29,155412,
"North Sydney (A)",6536,3855,10977,15766,9814,7490,6866,4190,1696,450,9,67655,
"Northern Beaches (A)",33640,30621,26047,33966,39857,33203,25255,17875,9608,2763,40,252876,
"Oberon (A)",612,664,577,498,681,703,836,502,189,41,3,5301,
"Orange (C)",5967,5207,4946,5234,5162,4893,4237,2813,1540,340,5,40348,
"Parkes (A)",2003,1943,1541,1583,1712,1993,1763,1225,689,153,0,14611,
"Parramatta (C)",30452,22654,35634,44982,29466,25002,18982,11435,6047,1475,22,226153,
"Penrith (C)",28594,25726,29161,29225,26135,24082,19061,9334,3866,863,9,196064,
"Port Macquarie-Hastings (A)",8410,9131,6353,6988,9405,10905,11855,9600,4862,1017,29,78541,
"Port Stephens (A)",8246,8378,6831,6936,8672,9677,10051,7248,2914,600,8,69556,
"Queanbeyan-Palerang Regional (A)",7425,7058,6980,7628,8812,8185,5699,2858,1132,241,6,56027,
"Randwick (C)",14867,14240,28833,23824,18823,15091,11502,7698,4615,1138,23,140659,
"Richmond Valley (A)",2881,2998,2137,2094,2708,3173,3262,2216,1138,197,7,22805,
"Rockdale (C)",12401,10490,19212,19147,14134,12103,9903,6728,4187,1087,13,109402,
"Ryde (C)",13561,11543,20135,19858,15226,13645,10590,6418,4234,1079,19,116304,
"Shellharbour (C)",9019,9299,8130,8170,9119,9279,7667,4966,2375,426,3,68460,
"Shoalhaven (C)",10789,10844,9197,9442,11174,14069,16167,11510,5474,977,13,99649,
"Singleton (A)",3291,3257,2930,2870,3339,3159,2257,1201,580,114,0,22990,
"Snowy Monaro Regional (A)",2238,2402,2199,2205,2859,3094,2664,1612,766,181,4,20216,
"Snowy Valleys (A)",1702,1680,1315,1540,1780,2146,2056,1357,678,143,4,14398,
