Australian Bureau of Statistics

"2006 Census - Ethnicity"
"Local Government Area (LGA) by Age 10 Year Age Groups (AGEP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Age 10 Year Age Groups (AGEP)","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Jerilderie (A)",234,222,114,178,278,230,201,115,59,7,0,1643,
"Junee (A)",741,793,755,836,858,769,509,316,172,25,0,5777,
"Kempsey (A)",3522,3929,2277,2933,3996,4170,3191,2155,1077,129,4,27385,
"Kiama (A)",2135,2981,1539,1910,2966,2793,2005,1538,953,159,3,18983,
"Kogarah (A)",6242,6570,7336,7634,8184,6430,4381,3275,2077,397,9,52536,
"Ku-ring-gai (A)",12520,16693,9215,9436,16377,14368,9648,7085,4664,1028,35,101082,
"Kyogle (A)",1189,1483,645,933,1514,1584,907,638,316,45,0,9257,
"Lachlan (A)",981,879,729,745,891,913,685,540,256,49,4,6672,
"Lake Macquarie (C)",22672,26079,18934,22672,26344,25154,19004,13835,7284,1133,30,183142,
"Lane Cove (A)",3757,3641,4161,4971,4540,3916,2431,1558,1167,271,14,30427,
"Leeton (A)",1701,1954,1072,1389,1621,1304,1017,676,319,57,3,11109,
"Leichhardt (A)",5367,3328,7338,11965,7649,6346,3528,2050,1013,180,0,48777,
"Lismore (C)",5494,6435,4838,5208,6525,6027,3516,2476,1386,300,9,42209,
"Lithgow (C)",2436,2785,1920,2480,3004,2839,2192,1369,644,88,0,19760,
"Liverpool (C)",27367,25599,23493,26355,24714,17614,10367,6230,2461,384,15,164601,
"Liverpool Plains (A)",1009,950,610,867,1044,1117,951,633,298,56,0,7537,
"Lockhart (A)",458,450,229,363,470,468,363,231,121,29,0,3182,
"Maitland (C)",9388,9337,7775,8698,8853,7811,4843,3252,1659,265,9,61883,
"Manly (A)",4574,3676,5060,6835,5591,4282,3038,2162,1603,285,4,37114,
"Marrickville (A)",7295,5721,12954,16015,11393,8083,5076,3460,1499,299,13,71818,
"Mid-Western Regional (A)",2758,3057,1756,2603,3068,2966,2503,1535,709,130,3,21088,
"Moree Plains (A)",2409,1890,1700,2115,2005,1734,1199,634,258,36,0,13973,
"Mosman (A)",3149,2681,2921,4280,4049,3599,2571,1531,1182,268,16,26237,
"Murray (A)",780,787,534,764,880,893,885,607,266,21,0,6414,
"Murrumbidgee (A)",393,375,268,352,367,310,240,140,54,10,0,2503,
"Muswellbrook (A)",2468,2337,1926,2196,2254,1816,1164,716,300,61,3,15236,
"Nambucca (A)",2083,2395,1218,1604,2582,2744,2358,1816,959,137,3,17894,
"Narrabri (A)",1992,1848,1377,1710,1942,1655,1307,856,359,72,0,13113,
"Narrandera (A)",789,873,561,654,847,808,631,515,279,45,0,6011,
"Narromine (A)",1021,913,618,796,914,895,668,468,188,25,0,6511,
"Newcastle (C)",16245,17396,22589,19572,19760,17290,11846,9693,6284,1048,35,141754,
"North Sydney (A)",4193,3194,12266,13940,7562,7150,5076,2707,1765,399,10,58260,
"Oberon (A)",696,714,530,666,665,761,573,274,139,14,0,5029,
"Orange (C)",5177,5375,4279,4694,4781,4343,2984,2225,1263,214,5,35338,
"Palerang (A)",1666,1844,849,1665,2252,2132,1207,498,178,28,0,12313,
"Parkes (A)",2149,2099,1425,1681,2020,1765,1400,1076,567,80,9,14284,
"Parramatta (C)",19400,18197,25239,23971,21039,16288,10752,7904,4699,803,29,148323,
"Penrith (C)",25967,26997,26095,25662,25019,21769,11059,6056,3105,397,14,172141,
"Pittwater (A)",7147,7124,4969,6925,8759,7914,5507,3327,2029,445,11,54158,
"Port Stephens (A)",8015,8629,5718,7379,8660,8038,7029,4592,2120,295,7,60485,
"Queanbeyan (C)",5220,5068,4930,5908,5818,4340,2454,1411,709,112,5,35969,
"Randwick (C)",12102,12157,23713,21079,16561,13388,9078,6973,4109,689,33,119882,
"Richmond Valley (A)",2894,3280,1819,2380,3005,2969,2170,1728,916,148,0,21314,
"Rockdale (C)",11151,9695,14319,14896,12666,10703,7991,6069,3807,800,20,92122,
"Ryde (C)",10967,10713,15651,15180,14594,11733,7409,6176,3797,712,14,96951,
"Shellharbour (C)",8941,9207,7093,8332,9080,7338,5273,3522,1368,172,3,60335,
"Shoalhaven (C)",10444,12353,6959,9231,12315,12394,11578,8703,3859,541,17,88406,
"Singleton (A)",3476,3550,2523,3296,3368,2767,1494,924,445,88,6,21937,
"Snowy River (A)",904,930,871,1129,1249,1008,645,315,117,12,0,7188,
"Strathfield (A)",3435,4711,5899,4275,4838,3587,2260,1703,1037,230,8,31980,
"Sutherland Shire (A)",26180,28181,26041,29527,30738,27254,17416,12278,6766,1040,26,205449,
"Sydney (C)",8353,9539,47264,37140,20680,15485,9358,5577,2709,445,22,156572,
"Tamworth Regional (A)",7198,8246,5671,6558,7518,7135,5358,3687,1877,324,8,53592,
"Temora (A)",799,825,448,641,823,818,640,535,260,59,0,5857,
"Tenterfield (A)",851,840,464,720,903,1103,804,537,250,54,0,6536,
"Tumbarumba (A)",434,440,367,434,548,495,406,253,135,23,3,3534,
"Tumut Shire (A)",1422,1501,1012,1350,1583,1500,1144,802,425,64,4,10798,
"Tweed (A)",9136,10563,6481,8701,11386,10702,9205,8306,4290,536,14,79320,
"Upper Hunter Shire (A)",1764,1737,1452,1587,1899,1767,1346,883,453,81,4,12974,
"Upper Lachlan (A)",888,959,445,789,1100,1073,943,592,222,39,0,7053,
"Uralla (A)",778,846,502,650,904,936,607,359,141,27,0,5737,
"Urana (A)",178,166,97,137,198,181,159,102,29,10,0,1258,
"Wagga Wagga (C)",8309,9136,8453,7333,7682,6709,4395,3048,1666,270,7,57012,
"Wakool (A)",538,615,305,458,697,652,520,391,158,31,0,4365,
"Walcha (A)",436,428,232,383,438,494,407,229,130,16,0,3188,
"Walgett (A)",1048,776,784,894,1031,1042,811,429,123,8,0,6942,
